,id,budget,homepage,original_language,original_is_en,original_title,popularity,popularity_cat,release_date,year,month,runtime,revenue,best_seller,revenue_rank,yearly_revenue_sum,revenue_year_percent,rev_budg_ratio,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,TV Movie,War,Western,en,fr,es,de,ru,it,ja,Art,Camera,Costume & Make-Up,Crew,Directing,Editing,Lighting,Production,Sound,Visual Effects,Writing,female_cnt,male_cnt
0,1,14000000,0,en,1,Hot Tub Time Machine 2,6.575393199920654,High,2/20/15,2015.0,2.0,93.0,12314651.0,Yes,72,35568350164.0,0.03,0.8796,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,13.0,4.0,4.0,2.0,4.0,9.0,10.0,4.0,2.0,0.0,13.0
1,2,40000000,0,en,1,The Princess Diaries 2: Royal Engagement,8.248894691467285,High,8/6/04,2004.0,8.0,113.0,95149435.0,Yes,26,19352888402.0,0.49,2.3787,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0,4.0
2,3,3300000,1,en,1,Whiplash,64.29998779296875,Superb,10/10/14,2014.0,10.0,105.0,13092000.0,Yes,58,28532951356.0,0.05,3.9673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,9.0,3.0,6.0,1.0,18.0,9.0,3.0,1.0,4.0,11.0
3,4,1200000,1,hi,0,Kahaani,3.174936056137085,Medium,3/9/12,2012.0,3.0,122.0,16000000.0,Yes,63,30080270257.0,0.05,13.3333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,5,0,0,ko,0,????,1.148069977760315,Low,2/5/09,2009.0,2.0,118.0,3923970.0,Yes,78,25242636900.0,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,6,8000000,0,en,1,Pinocchio and the Emperor of the Night,0.7432739734649658,Low,8/6/87,1987.0,8.0,83.0,3261638.0,Yes,30,5268005297.0,0.06,0.4077,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0
6,7,14000000,1,en,1,The Possession,7.286477088928223,High,8/30/12,2012.0,8.0,92.0,85446075.0,Yes,27,30080270257.0,0.27999999999999997,6.1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,12.0,11.0,4.0,9.0,4.0,8.0,8.0,2.0,4.0,6.0,11.0
7,8,0,0,en,1,Control Room,1.9490439891815186,Low,1/15/04,2004.0,1.0,84.0,2586511.0,Yes,62,19352888402.0,0.01,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,9,0,0,en,1,Muppet Treasure Island,6.902422904968262,High,2/16/96,1996.0,2.0,100.0,34327391.0,Yes,23,9553878525.0,0.36,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,7.0
9,10,6000000,0,en,1,A Mighty Wind,4.672036170959473,Medium,4/16/03,2003.0,4.0,91.0,18750246.0,Yes,42,14648931555.0,0.13,3.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0
